"Index" "Amada.Open" "Amada.High" "Amada.Low" "Amada.Close" "Amada.Volume" "Amada.Adjusted" "Hokuetsu.Open" "Hokuetsu.High" "Hokuetsu.Low" "Hokuetsu.Close" "Hokuetsu.Volume" "Hokuetsu.Adjusted" "Mitsubishi.Open" "Mitsubishi.High" "Mitsubishi.Low" "Mitsubishi.Close" "Mitsubishi.Volume" "Mitsubishi.Adjusted" "Secom.Open" "Secom.High" "Secom.Low" "Secom.Close" "Secom.Volume" "Secom.Adjusted" "Tokyu.Open" "Tokyu.High" "Tokyu.Low" "Tokyu.Close" "Tokyu.Volume" "Tokyu.Adjusted"
"2018-05-09" 1316 1317 1294 NA 1064800 1224.866211 665 666 652 NA 832600 635.269836 793 796 783 NA 4805500 746.264282 8334 8372 8288 NA 383300 8122.23584 843 852 841 NA 1972400 820.475891
"2018-05-10" 1303 1324 1295 0.00153491971808428 1167900 1226.747803 645 648 625 -0.0437569803571005 939600 608.071777 818 866 817 0.0901950791375548 21056800 816.702515 8411 8477 8387 0.00943009077083445 478200 8199.192383 833 853 833 0.0011785505194446 1904200 821.44342
"2018-05-11" 1308 1339 1300 0.0137092779250327 2348300 1243.681396 631 656 631 0.0452848645351533 914100 636.241211 854 864 846 0.00116482249629257 7462700 817.654419 8398 8398 8254 -0.0152035010822349 946200 8075.478516 858 862 853 0.0128732029362055 1596600 832.086365
"2018-05-14" 1327 1338 1320 0.00678479798348075 1505400 1252.148193 663 666 656 0.00911860421643418 570900 642.069397 860 874 850 0.0127242896643747 7784500 828.124878 8242 8282 8200 -0.0041097604079976 551300 8042.35791 859 859 840 -0.023530497410194 2054200 812.735535
"2018-05-15" 1338 1343 1324 -0.00300978406290486 1094600 1248.385132 631 637 595 -0.0512136733834874 1438500 610.014465 879 889 872 0.00344234419097234 5569300 830.98053 8233 8248 8195 -0.00741599654341307 586900 7982.937012 834 837 826 -0.0155971968136681 2013400 800.157532
"2018-05-16" 1326 1332 1315 -0.00680531926975458 1071400 1239.918457 630 631 622 -0.00478851673179737 580300 607.100403 870 879 867 -0.00229357898709903 4691000 829.076782 8174 8195 8124 -0.0073484715247929 541500 7924.489746 827 832 820 -0.00484849434662138 1182600 796.287354
"2018-05-17" 1312 1318 1296 -0.010678972575854 1851500 1226.747803 634 638 630 0.0111377444104566 502400 613.899963 874 884 871 0.0125500791542885 4601700 839.547363 8158 8160 8059 -0.00752671824025164 526600 7865.067871 822 823 816 -0.00609386407432311 1553000 791.449585
"2018-05-18" 1311 1313 1301 0.00153256734977791 1062200 1228.629272 639 641 628 -0.00316957476127921 801500 611.957214 883 888 873 -0.00227014853453955 6802800 837.643616 8084 8150 8055 0.00912347593381035 659600 7937.152832 821 824 817 0.00244200365555169 1294100 793.384644
"2018-05-21" 1305 1307 1299 -0.0030674870678622 1208100 1224.866211 633 633 615 -0.0192313619278881 810400 600.300903 890 895 881 0.0146646734042468 6238800 850.017883 8132 8189 8115 0.000245428888211663 341300 7939.101074 816 816 808 -0.0147422817372034 997000 781.774231
"2018-05-22" 1302 1305 1288 -0.00848443192187176 1305500 1214.517944 619 619 606 -0.0146701897477932 1033400 591.558655 891 902 889 0.00558348742570125 6919300 854.777161 8145 8172 8085 0.000981113642595233 440200 7946.894043 811 812 804 -0.00123839025114592 1272300 780.806641
